tripduration;Starttime;Stoptime;start station id;start station name;start station latitude;start station longitude;end station id;end station name;end station latitude;end station longitude;bikeid
916;01/09/2019 00:00;01/09/2019 00:15;9;Commonwealth Ave at Agganis Way;42,351692;-71,1190349;33;Kenmore Square;42,348706;-71,097009;4161
394;01/09/2019 00:00;01/09/2019 00:07;189;Kendall T;42,3624278;-71,0849547;178;MIT Pacific St at Purrington St;42,359573;-71,101295;5515
480;01/09/2019 00:00;01/09/2019 00:08;9;Commonwealth Ave at Agganis Way;42,351692;-71,1190349;10;B.U. Central - 725 Comm. Ave.;42,350406;-71,108279;3061
800;01/09/2019 00:01;01/09/2019 00:14;46;Christian Science Plaza - Massachusetts Ave at Westland Ave;42,3436658;-71,0858238;199;Upham's Corner T Stop - Magnolia St at Dudley St;42,318697;-71,069781;3309
758;01/09/2019 00:01;01/09/2019 00:13;56;Dudley Square - Dudley St at Warren St;42,329843;-71,0838657;55;Boylston St at Massachusetts Ave;42,347265;-71,088088;743
261;01/09/2019 00:01;01/09/2019 00:05;124;Curtis Hall - South St at Centre St;42,309054;-71,11543;273;Forest Hills;42,300923;-71,114249;3241
1096;01/09/2019 00:01;01/09/2019 00:19;189;Kendall T;42,3624278;-71,0849547;358;Medford St at Charlestown BCYF;42,380429;-71,060557;4565
1198;01/09/2019 00:01;01/09/2019 00:21;151;Surface Rd at India St;42,358155;-71,052163;31;Seaport Hotel - Congress St at Seaport Ln;42,34881;-71,041677;3063
269;01/09/2019 00:01;01/09/2019 00:06;26;Washington St at Waltham St;42,341522;-71,068922;364;Tremont St at Northampton St;42,338896;-71,0815;2646
857;01/09/2019 00:02;01/09/2019 00:16;73;Harvard Square at Brattle St / Eliot St;42,373231;-71,120886;66;Allston Green District - Griggs St at Commonwealth Ave;42,349225;-71,132753;5028
629;01/09/2019 00:03;01/09/2019 00:13;79;Beacon St at Washington / Kirkland;42,37842;-71,105668;95;Cambridge St - at Columbia St / Webster Ave;42,372969;-71,094445;3428
567;01/09/2019 00:03;01/09/2019 00:13;358;Medford St at Charlestown BCYF;42,3804295;-71,0605572;194;Broadway St at Mt Pleasant St;42,386141;-71,078281;3519
98;01/09/2019 00:04;01/09/2019 00:05;380;Mass Ave at Albany St;42,3613584;-71,0967027;178;MIT Pacific St at Purrington St;42,359573;-71,101295;5370
345;01/09/2019 00:04;01/09/2019 00:10;378;191 Beacon St;42,3803234;-71,1087861;73;Harvard Square at Brattle St / Eliot St;42,373231;-71,120886;4856
1032;01/09/2019 00:04;01/09/2019 00:21;60;Charles Circle - Charles St at Cambridge St;42,360185;-71,070866;381;Inman Square at Springfield St.;42,374384;-71,100157;3828
544;01/09/2019 00:04;01/09/2019 00:13;68;Central Square at Mass Ave / Essex St;42,36507;-71,1031;108;Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St;42,377945;-71,116865;5581
745;01/09/2019 00:04;01/09/2019 00:17;352;Ring Rd;42,3482784;-71,0804486;51;Washington St at Lenox St;42,335099;-71,079038;3816
927;01/09/2019 00:05;01/09/2019 00:20;37;New Balance - 20 Guest St;42,3573292;-71,1467354;74;Harvard Square at Mass Ave/ Dunster;42,373268;-71,118579;5158
385;01/09/2019 00:05;01/09/2019 00:11;87;Harvard University Housing - 115 Putnam Ave at Peabody Terrace;42,366621;-71,114214;87;Harvard University Housing - 115 Putnam Ave at Peabody Terrace;42,366621;-71,114214;5123
679;01/09/2019 00:05;01/09/2019 00:17;352;Ring Rd;42,3482784;-71,0804486;51;Washington St at Lenox St;42,335099;-71,079038;4463
