service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS319-1-Wdy-02,1,1,1,1,1,0,0,20190726,20190830
BUS319-2-Wdy-02,1,1,1,1,1,0,0,20190726,20190830
BUS319-3-Sa-02,0,0,0,0,0,1,0,20190727,20190831
BUS319-4-Su-02,0,0,0,0,0,0,1,20190728,20190825
BUS319-5-Wdy-02,1,1,1,1,1,0,0,20190726,20190830
BUS319-6-Sa-02,0,0,0,0,0,1,0,20190727,20190831
BUS319-7-Su-02,0,0,0,0,0,0,1,20190728,20190825
BUS319-8-Wdy-02,1,1,1,1,1,0,0,20190726,20190830
BUS319-9-Sa-02,0,0,0,0,0,1,0,20190727,20190831
BUS319-A-Su-02,0,0,0,0,0,0,1,20190728,20190825
BUS319-B-Wdy-02,0,0,0,0,1,0,0,20190726,20190830
BUS319-C-Wdy-02,1,1,1,1,0,0,0,20190729,20190829
BUS319-D-Wdy-02,1,1,1,1,1,0,0,20190726,20190830
BUS319-E-Sa-02,0,0,0,0,0,1,0,20190727,20190831
BUS319-F-Su-02,0,0,0,0,0,0,1,20190728,20190825
BUS319-G-Wdy-02,1,1,1,1,1,0,0,20190726,20190830
BUS319-H-Sa-02,0,0,0,0,0,1,0,20190727,20190831
BUS319-I-Su-02,0,0,0,0,0,0,1,20190728,20190825
BUS319-J-Wdy-02,1,1,1,1,1,0,0,20190726,20190830
BUS319-K-Sa-02,0,0,0,0,0,1,0,20190727,20190831
BUS319-L-Su-02,0,0,0,0,0,0,1,20190728,20190825
BUS319-M-Wdy-02,1,1,1,1,1,0,0,20190726,20190830
BUS319-N-Sa-02,0,0,0,0,0,1,0,20190727,20190831
BUS319-O-Su-02,0,0,0,0,0,0,1,20190728,20190825
BUS319-P-Wdy-02,1,1,1,1,1,0,0,20190726,20190830
BUS319-Q-Sa-02,0,0,0,0,0,1,0,20190727,20190831
Boat-F1-FrSmr,0,0,0,0,1,0,0,20190726,20190830
Boat-F1-Sa,0,0,0,0,0,1,0,20190727,20190831
Boat-F1-Su,0,0,0,0,0,0,1,20190728,20190825
Boat-F1-WdSmr,1,1,1,1,0,0,0,20190729,20190829
Boat-F4-Sa,0,0,0,0,0,1,0,20190727,20190831
Boat-F4-Su,0,0,0,0,0,0,1,20190728,20190825
Boat-F4-Wdy,1,1,1,1,1,0,0,20190726,20190830
CR-Foxboro-Sa-170,0,0,0,0,0,1,0,20190817,20190817
CR-Sa-Fairmount-Spr-19,0,0,0,0,0,1,0,20190727,20190831
CR-Sa-Fitchburg-Spr-19,0,0,0,0,0,1,0,20190727,20190727
CR-Sa-Fitchburg-Spr-19-FtgGLX,0,0,0,0,0,1,0,20190803,20190824
CR-Sa-Franklin-Spr-19,0,0,0,0,0,1,0,20190727,20190831
CR-Sa-Greenbush-Spr-19,0,0,0,0,0,1,0,20190727,20190831
CR-Sa-Haverhill-Spr-19,0,0,0,0,0,1,0,20190803,20190831
CR-Sa-Haverhill-Spr-19-TrtHvl,0,0,0,0,0,1,0,20190727,20190727
CR-Sa-Kingston-Spr-19,0,0,0,0,0,1,0,20190727,20190831
CR-Sa-Lowell-LowellFolk-19,0,0,0,0,0,1,0,20190727,20190727
CR-Sa-Lowell-Spr-19,0,0,0,0,0,1,0,20190803,20190831
CR-Sa-Middleborough-Spr-19,0,0,0,0,0,1,0,20190727,20190831
CR-Sa-Needham-Spr-19,0,0,0,0,0,1,0,20190727,20190727
CR-Sa-Newburyport-Spr-19,0,0,0,0,0,1,0,20190727,20190831
CR-Sa-Providence-Spr-19,0,0,0,0,0,1,0,20190727,20190831
CR-Sa-Worcester-Spr-19,0,0,0,0,0,1,0,20190727,20190831
