service_id,service_description,service_schedule_name,service_schedule_type,service_schedule_typicality
BUS319-1-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS319-2-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS319-3-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS319-4-Su-02,Sunday schedule,Sunday,Sunday,1
BUS319-5-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS319-6-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS319-7-Su-02,Sunday schedule,Sunday,Sunday,1
BUS319-8-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS319-9-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS319-A-Su-02,Sunday schedule,Sunday,Sunday,1
BUS319-B-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS319-C-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS319-D-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS319-E-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS319-F-Su-02,Sunday schedule,Sunday,Sunday,1
BUS319-G-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS319-H-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS319-I-Su-02,Sunday schedule,Sunday,Sunday,1
BUS319-J-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS319-K-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS319-L-Su-02,Sunday schedule,Sunday,Sunday,1
BUS319-M-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS319-N-Sa-02,Saturday schedule,Saturday,Saturday,1
BUS319-O-Su-02,Sunday schedule,Sunday,Sunday,1
BUS319-P-Wdy-02,Weekday schedule,Weekday,Weekday,1
BUS319-Q-Sa-02,Saturday schedule,Saturday,Saturday,1
Boat-F1-FrSmr,Friday schedule (summer),Friday,Weekday,1
Boat-F1-Sa,Saturday schedule,Saturday,Saturday,1
Boat-F1-Su,Sunday schedule,Sunday,Sunday,1
Boat-F1-WdSmr,Weekday schedule (summer),Weekday,Weekday,1
Boat-F4-Sa,Saturday schedule,Saturday,Saturday,1
Boat-F4-Su,Sunday schedule,Sunday,Sunday,1
Boat-F4-Wdy,Weekday schedule,Weekday,Weekday,1
CR-Foxboro-Sa-170,Special event schedule,Special event,Other,2
CR-Sa-Fairmount-Spr-19,Saturday schedule,Saturday,Saturday,1
CR-Sa-Fitchburg-Spr-19,Saturday schedule,Saturday,Saturday,1
CR-Sa-Fitchburg-Spr-19-FtgGLX,Saturday schedule,Saturday,Saturday,4
CR-Sa-Franklin-Spr-19,Saturday schedule,Saturday,Saturday,1
CR-Sa-Greenbush-Spr-19,Saturday schedule,Saturday,Saturday,1
CR-Sa-Haverhill-Spr-19,Saturday schedule,Saturday,Saturday,1
CR-Sa-Haverhill-Spr-19-TrtHvl,Saturday schedule,Saturday,Saturday,4
CR-Sa-Kingston-Spr-19,Saturday schedule,Saturday,Saturday,1
CR-Sa-Lowell-LowellFolk-19,Saturday schedule,Saturday,Saturday,1
CR-Sa-Lowell-Spr-19,Saturday schedule,Saturday,Saturday,1
CR-Sa-Middleborough-Spr-19,Saturday schedule,Saturday,Saturday,1
CR-Sa-Needham-Spr-19,Saturday schedule,Saturday,Saturday,1
CR-Sa-Newburyport-Spr-19,Saturday schedule,Saturday,Saturday,1
CR-Sa-Providence-Spr-19,Saturday schedule,Saturday,Saturday,1
CR-Sa-Worcester-Spr-19,Saturday schedule,Saturday,Saturday,1
CR-Su-Fairmount-Spr-19,Sunday schedule,Sunday,Sunday,1
CR-Su-Fitchburg-Spr-19,Sunday schedule,Sunday,Sunday,1
CR-Su-Fitchburg-Spr-19-FtgGLX,Sunday schedule,Sunday,Sunday,4
CR-Su-Franklin-Spr-19,Sunday schedule,Sunday,Sunday,1
CR-Su-Greenbush-Spr-19,Sunday schedule,Sunday,Sunday,1
CR-Su-Haverhill-Spr-19,Sunday schedule,Sunday,Sunday,1
CR-Su-Haverhill-Spr-19-TrtHvl,Sunday schedule,Sunday,Sunday,4
CR-Su-Kingston-Spr-19,Sunday schedule,Sunday,Sunday,1
CR-Su-Lowell-Spr-19,Sunday schedule,Sunday,Sunday,1
CR-Su-Middleborough-Spr-19,Sunday schedule,Sunday,Sunday,1
CR-Su-Newburyport-Spr-19,Sunday schedule,Sunday,Sunday,1
CR-Su-Providence-Spr-19,Sunday schedule,Sunday,Sunday,1
CR-Su-Worcester-Spr-19,Sunday schedule,Sunday,Sunday,1
CR-Wdy-Fairmount-Spr-19,Weekday schedule,Weekday,Weekday,1
CR-Wdy-Fitchburg-Spr-19,Weekday schedule,Weekday,Weekday,1
CR-Wdy-Franklin-Spr-19,Weekday schedule,Weekday,Weekday,1
CR-Wdy-Greenbush-Spr-19,Weekday schedule,Weekday,Weekday,1
CR-Wdy-Haverhill-LowellFolk-19,Weekday schedule,Weekday,Weekday,1
CR-Wdy-Haverhill-Spr-19,Weekday schedule,Weekday,Weekday,1
CR-Wdy-Haverhill-Spr-19-BllMlnCnr,Weekday schedule,Weekday,Weekday,4
CR-Wdy-Kingston-Spr-19,Weekday schedule,Weekday,Weekday,1
CR-Wdy-Lowell-LowellFolk-19,Weekday schedule,Weekday,Weekday,1
