route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
Red-1-0,Red,0,Ashmont,,1,10010051,40526285-L
Red-3-0,Red,0,Braintree,,1,10010052,40526296-L
Red-1-1,Red,1,Alewife,,1,10010151,40526276-L
Red-3-1,Red,1,Alewife,,1,10010152,40526291-L
Mattapan-_-0,Mattapan,0,Mattapan,,1,10011000,40826379
Mattapan-_-1,Mattapan,1,Ashmont,,1,10011100,40826378
Orange-3-0,Orange,0,Forest Hills,,1,10020000,40709167
Orange-5-0,Orange,0,Forest Hills,Weekdays only,3,10020099,40709151
Orange-3-1,Orange,1,Oak Grove,,1,10020100,40709170
Green-B-3-0,Green-B,0,Boston College,,1,10032000,40851231-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-B-0-0,Green-B,0,Boston College,Weekend early mornings only,3,10032099,40819660-ClevelandCircleStMary
Green-B-3-1,Green-B,1,Park Street,,1,10032100,40851136-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-B-0-1,Green-B,1,Lechmere,Weekend early mornings only,3,10032199,40819659-ClevelandCircleStMary
Green-C-1-0,Green-C,0,Cleveland Circle,,1,10033000,40851149-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-C-0-0,Green-C,0,Cleveland Circle,,3,10033099,40851147-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-C-1-1,Green-C,1,North Station,,1,10033100,40851141-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-C-0-1,Green-C,1,Lechmere,Early mornings only,3,10033199,40851137-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-D-2-0,Green-D,0,Riverside,,1,10034003,40851777-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-D-4-0,Green-D,0,Reservoir,Weekdays only,3,10034098,40851550-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-D-6-0,Green-D,0,Riverside,Weekday evenings only,3,10034098,40853343-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore2
Green-D-0-0,Green-D,0,Riverside,Weekdays only,3,10034099,40852542-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-D-2-1,Green-D,1,Government Center,,1,10034104,40851128-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-D-4-1,Green-D,1,Lechmere,Weekdays only,3,10034197,40851498-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-D-6-1,Green-D,1,Government Center,Weekday evenings only,3,10034198,40853320-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore0
Green-D-0-1,Green-D,1,Lechmere,Weekday early mornings only,3,10034199,40852540-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-D-1-1,Green-D,1,North Station,Weekday evenings only,3,10034199,40851949-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-D-5-1,Green-D,1,Government Center,Weekday early mornings only,3,10034199,40851495-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-E-0-0,Green-E,0,Heath Street,,1,10035000,40851171-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-E-2-0,Green-E,0,Heath Street,Weekday early mornings only,3,10035099,40851243-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Green-E-0-1,Green-E,1,Lechmere,,1,10035100,40851245-RedSox-20:30-22:30-ClevelandCircleStMaryNewtonHighlandsKenmore
Blue-6-0,Blue,0,Bowdoin,,1,10040003,40629513
Blue-8-0,Blue,0,Bowdoin,,3,10040096,40629720
Blue-6-1,Blue,1,Wonderland,,1,10040100,40629721
741-_-0,741,0,Logan Airport,,1,10051000,40606448
741-_-1,741,1,South Station,,1,10051101,40606342
741-2-1,741,1,South Station,Early mornings and late nights only,3,10051198,40669118
742-1-0,742,0,Drydock,,1,10052059,40606000
742-_-0,742,0,Drydock,,2,10052060,40606124
742-_-1,742,1,South Station,,1,10052145,40606147
742-1-1,742,1,South Station,,2,10052160,40605997
742-3-1,742,1,South Station,Evenings only,3,10052193,40605921
743-_-0,743,0,Chelsea,,1,10053000,40605853
743-_-1,743,1,South Station,,1,10053101,40605855
743-1-1,743,1,South Station,Late nights only,3,10053198,40605711
751-_-0,751,0,Dudley Station,,1,10055000,40605057
751-1-0,751,0,Dudley Station,Early mornings only,3,10055099,40669119
751-_-1,751,1,South Station,,1,10055100,40605056
749-_-0,749,0,Dudley Station,,1,10056000,40604799
749-_-1,749,1,Downtown,,1,10056100,40604798
746-_-0,746,0,Silver Line Way,,1,10057000,40606114
746-_-1,746,1,South Station,,1,10057100,40605845
CR-Fairmount-0-0,CR-Fairmount,0,South Station - Readville via Fairmount,,1,20001000,CR-Weekday-Spring-19-751
CR-Fairmount-0-1,CR-Fairmount,1,Readville - South Station via Fairmount,,1,20001100,CR-Weekday-Spring-19-750
CR-Fitchburg-0-0,CR-Fitchburg,0,North Station - Wachusett,,1,20002000,CR-Weekday-Spring-19-401
CR-Fitchburg-0-1,CR-Fitchburg,1,Wachusett - North Station,,1,20002100,CR-Weekday-Spring-19-400
CR-Worcester-0-0,CR-Worcester,0,South Station - Worcester,,1,20003000,CR-Weekday-Spring-19-501
CR-Worcester-0-1,CR-Worcester,1,Worcester - South Station,,1,20003100,CR-Weekday-Spring-19-500
