Station list of HP: from the top (No number on HP),Name,Name(Translated),Station ID ,Latitude(Reference),Longitude(Reference)
1,____K______,Circle K Anjo Yokoyama Minami,21,34.9548457,137.0677492
2,____K_______,Circle K Anjo Police Nishi,24,34.95937554,137.0719136
3,________,Domy Anjo Yokoyama,14,34.95995552,137.0733101
4,____K_____,Circle K Anjo Sakuramachi,19,34.96348356,137.0759237
5,_____,Anjo City Hall,2,34.95856945,137.0797999
6,_______,Ookate Anjo Hyakkoku,17,34.9522393,137.0775641
7,_____,Central Library,12,34.94673564,137.0765226
8,__________ ________,Sonpo Japan Nihon Koua,6,34.95899649,137.0829127
9,________,Hekikai Shinkin Bank,3,34.95775399,137.0852319
10,____ ________,Ookate Anjo Miyuki Station,5,34.960998,137.08374
11,___________,JR Anjo Station  Parking No.1,1,34.95951,137.087292
12,________,Eco Center Anjo,7,34.96174153,137.0845843
13,____K_______,Circle K Anjo Daitou-cho Minami,8,34.96279451,137.0842754
14,________,Citizen Communication Center,4,34.96323548,137.0846516
15,____K_____,Circle K Anjo Daitou,27,34.9656547,137.0870406
16,____K_____,Circle K Anjo Ikeura,23,34.9721043,137.0804115
17,____,Omikogyo,15,34.95852753,137.0987348
18,____K______,Circle K Anjo Shinden-cho,22,34.9583532,137.0964981
19,______,Matsui Orthopedics,16,34.95535948,137.0933699
20,__________,Hekikai Shinkin Bank_Minami Anjo branch_,13,34.954064,137.091118
21,____K_____,Circle K Anjo Miyamae,28,34.9486365,137.0933813
22,_____,Museum of History,32,34.56.46,137.5.52
23,_________,Anjo Korona World,TBD,,
24,____K_______,Circle K Higashikariya Station Kita,18,34.9789463,137.0450584
25,________,Village Kaihatu HQ,9,34.96831091,137.0565222
26,________,The Grand Tiara Anjo,11,34.96775869,137.0598645
27,_______,Plaza Mikawa Anjo,10,34.96519928,137.0599055
28,____K_______,Circle K Anjo Sasamedouji,25,34.97129268,137.0651927
29,______,Community Center_Nihongi),31,34.58.20,137.3.19
30,____K_____,Circle K Anjo Satomachi,20,35.0059601,137.0898818
31,_____,Yachiyo Hospital,29,34.59.13,137.4.45
32,_____,Community Center_Hokubu),30,34.59.33,137.5.26
33,______,PIAGO Toei,35,34.59.12,137.5.45
34,____K_____,Circle K Anjo Horiuchi,26,34.9320074,137.089064
35,_______,APITA Minami Anjo,34,34.55.16,137.5.12 
36,_____,Community Center_Sakuno),33,34.58.42,137.4.39
37,________________,Anjo sports park(Solar station),TBD,,
38,_____,JR Mikawa Anjo Station Kita,TBD,,
39,_____,Den-park,TBD,,
40,____,Meitetsu Shin-Anjo Station Kita,TBD,,
41,__________,Hekikai Shinkin Bank_Sakurai branch_,TBD,,
