Reservation No.,Year of reservation made,Month of reservation made,Date of reservation made,Hour of reservation made,Minutes of reservation made,Year of planned departure,Month of planned departure,Date of planned departure,Hour of planned departure,Minutes of planned departure,Year of planned arrival,Month of planned arrival,Date of planned arrival,Hour of planned arrival,Minutes of planned arrival,Year of checked in ,Month of checked in ,Date of checked in ,Hour of checked in ,Minutes of checked in ,Year of checked out,Month of checked out,Date of checked out,Hour of checked out,Minutes of checked out,Station ID of checked in,Station name,Station ID of checked out,Station name,Vehicle type,Vehicle registraiton No.,Vehicle No.,Time of use,Energy used,Age of driver,ID Card No,Sex,Occupation
MNR-05042,2017,1,17,19,10,2017,1,17,19,15,2017,1,17,23,40,2017,1,17,19,46,2017,1,17,20,16,STN-00256,______,STN-00242,______,P-COM,___0_420,420_1,0:30:30,372.6355, , ,,Stuff
MNR-05043,2017,1,17,19,39,2017,1,17,19,40,2017,1,18,0,5,2017,1,17,19,41,2017,1,17,19,43,STN-00237,_______________,STN-00256,______,P-COM,___0_426,426,0:01:56,52.152, , ,,Stuff
MNR-05041,2017,1,17,19,9,2017,1,17,19,10,2017,1,17,23,35,2017,1,17,19,16,2017,1,17,19,37,STN-00242,______,STN-00237,_______________,P-COM,___0_416,416_1,0:21:36,467.8706, , ,,Stuff
MNR-05040,2017,1,17,16,48,2017,1,17,16,50,2017,1,17,21,15,2017,1,17,17,22,2017,1,17,17,26,STN-00202,________,STN-00204,___________,P-COM,___0_422,422,0:03:11,36.8261, , ,,Stuff
MNR-05039,2017,1,17,16,46,2017,1,17,16,50,2017,1,17,21,15,2017,1,17,17,13,2017,1,17,17,16,STN-00234,____K______,STN-00204,___________,P-COM,___0_425,425,0:03:32,84.2335, , ,,Stuff
MNR-05038,2017,1,17,15,16,2017,1,17,15,20,2017,1,17,16,30,2017,1,17,15,24,2017,1,17,16,23,STN-00204,___________,STN-00204,___________,P-COM,___0_402,402,0:59:26,378.967, , ,,Stuff
MNR-05037,2017,1,17,14,20,2017,1,17,14,25,2017,1,17,18,50,2017,1,17,14,32,2017,1,17,14,37,STN-00238,____K_____,STN-00248,_______,P-COM,___0_429,429,0:04:56,103.1088, , ,,Stuff
MNR-05036,2017,1,17,13,21,2017,1,17,13,30,2017,1,17,17,55,2017,1,17,13,40,2017,1,17,13,42,STN-00204,___________,STN-00196,____ ________,P-COM,___0_403,403,0:01:43,35.9749, , ,,Stuff
MNR-05035,2017,1,17,12,28,2017,1,17,12,30,2017,1,17,16,55,2017,1,17,12,41,2017,1,17,12,50,STN-00193,________,STN-00234,____K______,P-COM,___0_424,424,0:09:25,215.4436, , ,,Stuff
MNR-05034,2017,1,17,12,7,2017,1,17,12,10,2017,1,17,16,35,2017,1,17,12,21,2017,1,17,12,34,STN-00258,_____,STN-00244,________,P-COM,___0_413,413,0:13:08,270.7401, , ,,Stuff
MNR-05033,2017,1,17,11,35,2017,1,17,11,40,2017,1,17,16,5,2017,1,17,11,43,2017,1,17,12,0,STN-00204,___________,STN-00229,____K_______,B-COM,___0_408,408,0:16:39,417.8782, , ,,Stuff
MNR-05032,2017,1,17,10,21,2017,1,17,10,25,2017,1,17,14,50,2017,1,17,10,31,2017,1,17,11,44,STN-00198,_____,STN-00202,________,P-COM,___0_422,422,1:12:47,603.8671, , ,,Stuff
MNR-05028,2017,1,16,19,40,2017,1,16,19,45,2017,1,17,0,10,2017,1,16,20,45,2017,1,16,20,49,STN-00196,____ ________,STN-00201,__________,P-COM,___0_427,427_1,0:04:13,104.159, , ,,Stuff
MNR-05031,2017,1,16,20,11,2017,1,16,20,15,2017,1,17,0,40,2017,1,16,20,33,2017,1,16,20,39,STN-00236,____K_______,STN-00204,___________,B-COM,___0_408,408,0:06:43,196.8054, , ,,Stuff
MNR-05027,2017,1,16,19,39,2017,1,16,19,45,2017,1,17,0,10,2017,1,16,20,25,2017,1,16,20,31,STN-00230,____K_______,STN-00236,____K_______,P-COM,___0_423,423,0:05:45,115.3205, , ,,Stuff
MNR-05030,2017,1,16,20,4,2017,1,16,20,5,2017,1,17,0,30,2017,1,16,20,13,2017,1,16,20,17,STN-00198,_____,STN-00204,___________,B-COM,___0_411,411,0:03:59,76.9763, , ,,Stuff
MNR-05029,2017,1,16,20,1,2017,1,16,20,5,2017,1,17,0,30,2017,1,16,20,5,2017,1,16,20,11,STN-00201,__________,STN-00198,_____,P-COM,___0_422,422,0:06:15,116.1397, , ,,Stuff
MNR-05026,2017,1,16,19,5,2017,1,16,19,10,2017,1,16,23,35,2017,1,16,19,53,2017,1,16,19,58,STN-00254,_________,STN-00204,___________,P-COM,___0_402,402,0:04:14,88.8519, , ,,Stuff
MNR-05025,2017,1,16,18,20,2017,1,16,18,25,2017,1,16,22,50,2017,1,16,18,32,2017,1,16,18,35,STN-00202,________,STN-00204,___________,P-COM,___0_429,429,0:02:48,32.2051, , ,,Stuff
MNR-05024,2017,1,16,16,11,2017,1,16,16,15,2017,1,16,20,40,2017,1,16,16,17,2017,1,16,16,38,STN-00233,____K______,STN-00204,___________,P-COM,___0_428,428,0:21:04,218.4792, , ,,Stuff
MNR-05022,2017,1,15,17,27,2017,1,15,17,30,2017,1,15,21,55,2017,1,15,17,47,2017,1,15,17,56,STN-00204,___________,STN-00195,_____,P-COM,___0_405,405,0:08:37,138.4766, , ,,Stuff
MNR-05021,2017,1,15,12,17,2017,1,15,12,20,2017,1,15,16,45,2017,1,15,12,25,2017,1,15,12,32,STN-00233,____K______,STN-00204,___________,P-COM,___0_425,425,0:07:42,140.4972, , ,,Stuff
MNR-05020,2017,1,15,11,56,2017,1,15,12,0,2017,1,15,16,25,2017,1,15,12,11,2017,1,15,12,17,STN-00255,________________,STN-00230,____K_______,P-COM,___0_423,423,0:06:07,104.2605, , ,,Stuff
MNR-05019,2017,1,15,11,25,2017,1,15,11,30,2017,1,15,15,55,2017,1,15,11,52,2017,1,15,12,1, , ,STN-00237,_______________,P-COM,___0_426,426,0:08:15,196.0566, , ,,Stuff
MNR-05018,2017,1,15,10,40,2017,1,15,10,55,2017,1,16,15,10,2017,1,15,11,1,2017,1,15,11,5,STN-00248,_______,STN-00259,__________,P-COM,___0_414,414,0:04:30,73.9404, , ,,Stuff
MNR-05017,2017,1,15,10,39,2017,1,15,10,55,2017,1,16,15,5,2017,1,15,10,52,2017,1,15,10,56,STN-00259,__________,STN-00248,_______,P-COM,___0_402,402,0:03:41,78.1936, , ,,Stuff
MNR-05016,2017,1,14,17,43,2017,1,14,17,45,2017,1,14,22,10,2017,1,14,17,52,2017,1,14,17,55,STN-00237,_______________,STN-00256,______,P-COM,___0_420,420_1,0:02:47,43.7178, , ,,Stuff
MNR-05015,2017,1,14,17,16,2017,1,14,17,20,2017,1,14,21,45,2017,1,14,17,27,2017,1,14,17,46,STN-00254,_________,STN-00250,______,P-COM,___0_415,415,0:19:06,346.3933, , ,,Stuff
MNR-05014,2017,1,14,11,0,2017,1,14,11,5,2017,1,14,15,30,2017,1,14,11,10,2017,1,14,11,17,STN-00238,____K_____,STN-00195,_____,P-COM,___0_425,425,0:06:40,182.4762, , ,,Stuff
MNR-05013,2017,1,14,10,40,2017,1,14,10,45,2017,1,14,15,10,2017,1,14,10,54,2017,1,14,10,59,STN-00239,____K_____,STN-00202,________,P-COM,___0_429,429,0:04:57,86.0123, , ,,Stuff
MNR-05011,2017,1,14,9,59,2017,1,14,10,0,2017,1,14,14,25,2017,1,14,10,33,2017,1,14,10,37,STN-00247,_____,STN-00258,_____,P-COM,___0_412,412,0:04:24,82.0431, , ,,Stuff
MNR-05012,2017,1,14,10,0,2017,1,14,10,5,2017,1,14,14,30,2017,1,14,10,14,2017,1,14,10,19,STN-00224,_______,STN-00250,______,P-COM,___0_404,404,0:04:43,98.718, , ,,Stuff
MNR-05010,2017,1,13,19,30,2017,1,13,19,35,2017,1,13,20,0,2017,1,13,19,52,2017,1,13,19,54,STN-00239,____K_____,STN-00239,____K_____,P-COM,___0_429,429,0:02:07,0, , ,,Stuff
MNR-05009,2017,1,13,19,7,2017,1,13,19,10,2017,1,13,20,0,2017,1,13,19,11,2017,1,13,19,27, , ,STN-00239,____K_____,P-COM,___0_429,429,0:15:44,176.5667, , ,,Stuff
MNR-05008,2017,1,13,16,57,2017,1,13,17,5,2017,1,13,21,30,2017,1,13,17,13,2017,1,13,17,21,STN-00254,_________,STN-00191,________,P-COM,___0_421,421,0:08:33,124.9292, , ,,Stuff
MNR-05007,2017,1,13,16,21,2017,1,13,16,25,2017,1,13,20,50,2017,1,13,16,54,2017,1,13,16,59,STN-00233,____K______,STN-00236,____K_______,B-COM,___0_408,408,0:04:33,92.9821, , ,,Stuff
MNR-05006,2017,1,13,16,20,2017,1,13,16,25,2017,1,13,20,50,2017,1,13,16,47,2017,1,13,16,54,STN-00202,________,STN-00233,____K______,P-COM,___0_428,428,0:06:58,137.2465, , ,,Stuff
MNR-05005,2017,1,13,13,50,2017,1,13,13,55,2017,1,13,18,20,2017,1,13,13,57,2017,1,13,14,0,STN-00202,________,STN-00204,___________,P-COM,___0_405,405,0:02:50,37.5162, , ,,Stuff
MNR-05004,2017,1,13,10,15,2017,1,13,10,25,2017,1,13,12,30,2017,1,13,10,28,2017,1,13,11,40,STN-00202,________,STN-00202,________,P-COM,___0_428,428,1:12:42,211.0699, , ,,Stuff
MNR-05003,2017,1,13,9,32,2017,1,13,9,35,2017,1,13,10,35,2017,1,13,9,35,2017,1,13,9,47,STN-00204,___________,STN-00204,___________,P-COM,___0_425,425,0:11:57,94.9606, , ,,Stuff
MNR-05002,2017,1,12,20,35,2017,1,12,20,40,2017,1,13,1,5,2017,1,12,20,42,2017,1,12,20,54,STN-00256,______,STN-00201,__________,P-COM,___0_422,422,0:11:29,227.6318, , ,,Stuff
MNR-05001,2017,1,12,19,53,2017,1,12,19,55,2017,1,13,0,20,2017,1,12,20,23,2017,1,12,20,33,STN-00204,___________,STN-00223,________,P-COM,___0_419,419_1,0:09:34,240.1195, , ,,Stuff
MNR-05000,2017,1,12,19,50,2017,1,12,19,55,2017,1,13,0,20,2017,1,12,20,13,2017,1,12,20,17,STN-00201,__________,STN-00196,____ ________,P-COM,___0_427,427_1,0:03:39,89.1638, , ,,Stuff
